"","x"
"1","magenta"
"2","grey"
"3","white"
"4","turquoise"
"5","turquoise"
"6","brown"
"7","turquoise"
"8","blue"
"9","turquoise"
"10","greenyellow"
"11","black"
"12","blue"
"13","brown"
"14","brown"
"15","yellow"
"16","midnightblue"
"17","tan"
"18","turquoise"
"19","blue"
"20","brown"
"21","brown"
"22","royalblue"
"23","turquoise"
"24","blue"
"25","tan"
"26","royalblue"
"27","turquoise"
"28","blue"
"29","turquoise"
"30","lightgreen"
"31","turquoise"
"32","royalblue"
"33","blue"
"34","orange"
"35","turquoise"
"36","darkgreen"
"37","turquoise"
"38","turquoise"
"39","turquoise"
"40","tan"
"41","turquoise"
"42","yellow"
"43","brown"
"44","turquoise"
"45","brown"
"46","turquoise"
"47","greenyellow"
"48","darkgrey"
"49","darkgreen"
"50","turquoise"
"51","darkorange"
"52","magenta"
"53","blue"
"54","turquoise"
"55","lightcyan"
"56","pink"
"57","turquoise"
"58","green"
"59","darkgreen"
"60","black"
"61","royalblue"
"62","yellow"
"63","greenyellow"
"64","greenyellow"
"65","white"
"66","darkgrey"
"67","turquoise"
"68","green"
"69","brown"
"70","grey60"
"71","brown"
"72","brown"
"73","turquoise"
"74","green"
"75","grey60"
"76","brown"
"77","darkgrey"
"78","darkorange"
"79","blue"
"80","salmon"
"81","red"
"82","turquoise"
"83","pink"
"84","darkgreen"
"85","darkturquoise"
"86","black"
"87","yellow"
"88","turquoise"
"89","turquoise"
"90","green"
"91","darkgreen"
"92","tan"
"93","skyblue"
"94","magenta"
"95","brown"
"96","magenta"
"97","skyblue"
"98","turquoise"
"99","white"
"100","blue"
"101","darkred"
"102","red"
"103","yellow"
"104","lightyellow"
"105","turquoise"
"106","white"
"107","orange"
"108","yellow"
"109","turquoise"
"110","lightyellow"
"111","lightcyan"
"112","lightyellow"
"113","lightgreen"
"114","blue"
"115","purple"
"116","green"
"117","lightcyan"
"118","red"
"119","black"
"120","black"
"121","brown"
"122","lightgreen"
"123","grey"
"124","royalblue"
"125","brown"
"126","cyan"
"127","salmon"
"128","turquoise"
"129","red"
"130","darkgreen"
"131","green"
"132","green"
"133","midnightblue"
"134","black"
"135","turquoise"
"136","darkgrey"
"137","turquoise"
"138","lightcyan"
"139","black"
"140","brown"
"141","brown"
