"","x"
"1","tan"
"2","brown"
"3","blue"
"4","blue"
"5","blue"
"6","tan"
"7","greenyellow"
"8","lightgreen"
"9","yellow"
"10","purple"
"11","brown"
"12","brown"
"13","blue"
"14","yellow"
"15","tan"
"16","tan"
"17","turquoise"
"18","blue"
"19","purple"
"20","blue"
"21","blue"
"22","blue"
"23","blue"
"24","blue"
"25","blue"
"26","tan"
"27","cyan"
"28","greenyellow"
"29","turquoise"
"30","blue"
"31","turquoise"
"32","lightgreen"
"33","brown"
"34","blue"
"35","magenta"
"36","turquoise"
"37","turquoise"
"38","turquoise"
"39","magenta"
"40","turquoise"
"41","magenta"
"42","purple"
"43","yellow"
"44","turquoise"
"45","blue"
"46","blue"
"47","blue"
"48","black"
"49","black"
"50","magenta"
"51","turquoise"
"52","turquoise"
"53","turquoise"
"54","turquoise"
"55","turquoise"
"56","black"
"57","turquoise"
"58","turquoise"
"59","royalblue"
"60","turquoise"
"61","yellow"
"62","blue"
"63","magenta"
"64","black"
"65","brown"
"66","salmon"
"67","pink"
"68","blue"
"69","midnightblue"
"70","turquoise"
"71","blue"
"72","yellow"
"73","blue"
"74","yellow"
"75","turquoise"
"76","turquoise"
"77","brown"
"78","turquoise"
"79","green"
"80","turquoise"
"81","grey60"
"82","greenyellow"
"83","blue"
"84","blue"
"85","green"
"86","turquoise"
"87","brown"
"88","cyan"
"89","brown"
"90","greenyellow"
"91","tan"
"92","brown"
"93","grey"
"94","black"
"95","magenta"
"96","lightcyan"
"97","brown"
"98","turquoise"
"99","turquoise"
"100","blue"
"101","green"
"102","blue"
"103","turquoise"
"104","red"
"105","turquoise"
"106","turquoise"
"107","turquoise"
"108","yellow"
"109","purple"
"110","turquoise"
"111","brown"
"112","red"
"113","grey"
"114","magenta"
"115","midnightblue"
"116","brown"
"117","green"
"118","tan"
"119","brown"
"120","magenta"
"121","yellow"
"122","royalblue"
"123","black"
"124","blue"
"125","turquoise"
"126","brown"
"127","darkred"
"128","black"
"129","midnightblue"
"130","tan"
"131","blue"
"132","lightcyan"
"133","black"
"134","brown"
"135","blue"
"136","cyan"
"137","yellow"
"138","brown"
"139","lightcyan"
"140","turquoise"
"141","blue"
"142","grey"
"143","lightgreen"
"144","turquoise"
"145","purple"
"146","lightgreen"
"147","brown"
"148","yellow"
"149","turquoise"
"150","pink"
"151","blue"
"152","turquoise"
"153","salmon"
"154","yellow"
"155","turquoise"
"156","tan"
"157","blue"
"158","tan"
"159","grey60"
"160","turquoise"
"161","greenyellow"
"162","midnightblue"
"163","lightyellow"
"164","brown"
"165","lightyellow"
"166","lightcyan"
"167","pink"
"168","greenyellow"
"169","pink"
"170","black"
"171","lightyellow"
"172","royalblue"
"173","turquoise"
"174","lightyellow"
