"","x"
"1","cyan"
"2","cyan"
"3","cyan"
"4","lightgreen"
"5","turquoise"
"6","turquoise"
"7","turquoise"
"8","turquoise"
"9","turquoise"
"10","blue"
"11","pink"
"12","turquoise"
"13","turquoise"
"14","magenta"
"15","yellow"
"16","brown"
"17","turquoise"
"18","turquoise"
"19","turquoise"
"20","blue"
"21","lightgreen"
"22","turquoise"
"23","blue"
"24","lightgreen"
"25","brown"
"26","red"
"27","turquoise"
"28","lightgreen"
"29","blue"
"30","lightgreen"
"31","blue"
"32","brown"
"33","magenta"
"34","midnightblue"
"35","red"
"36","turquoise"
"37","blue"
"38","turquoise"
"39","blue"
"40","brown"
"41","lightcyan"
"42","greenyellow"
"43","turquoise"
"44","green"
"45","turquoise"
"46","yellow"
"47","yellow"
"48","green"
"49","turquoise"
"50","green"
"51","midnightblue"
"52","midnightblue"
"53","darkorange"
"54","turquoise"
"55","blue"
"56","skyblue"
"57","turquoise"
"58","turquoise"
"59","turquoise"
"60","grey"
"61","red"
"62","blue"
"63","brown"
"64","brown"
"65","brown"
"66","grey"
"67","brown"
"68","magenta"
"69","lightyellow"
"70","green"
"71","blue"
"72","turquoise"
"73","blue"
"74","turquoise"
"75","lightcyan"
"76","turquoise"
"77","purple"
"78","darkred"
"79","lightcyan"
"80","cyan"
"81","cyan"
"82","magenta"
"83","darkorange"
"84","turquoise"
"85","lightyellow"
"86","grey"
"87","blue"
"88","blue"
"89","blue"
"90","lightgreen"
"91","brown"
"92","black"
"93","blue"
"94","darkturquoise"
"95","turquoise"
"96","green"
"97","lightcyan"
"98","turquoise"
"99","salmon"
"100","turquoise"
"101","darkgreen"
"102","yellow"
"103","yellow"
"104","green"
"105","blue"
"106","royalblue"
"107","midnightblue"
"108","salmon"
"109","yellow"
"110","blue"
"111","turquoise"
"112","green"
"113","lightcyan"
"114","yellow"
"115","tan"
"116","black"
"117","blue"
"118","grey60"
"119","pink"
"120","turquoise"
"121","turquoise"
"122","turquoise"
"123","pink"
"124","brown"
"125","blue"
"126","black"
"127","cyan"
"128","turquoise"
"129","yellow"
"130","brown"
"131","turquoise"
"132","red"
"133","royalblue"
"134","black"
"135","blue"
"136","cyan"
"137","blue"
"138","greenyellow"
"139","tan"
"140","turquoise"
"141","red"
"142","midnightblue"
"143","turquoise"
"144","turquoise"
"145","blue"
"146","turquoise"
"147","turquoise"
"148","turquoise"
"149","salmon"
"150","orange"
"151","yellow"
"152","turquoise"
"153","grey"
"154","black"
"155","midnightblue"
"156","blue"
"157","turquoise"
"158","turquoise"
"159","brown"
"160","yellow"
"161","lightgreen"
"162","skyblue"
"163","brown"
"164","black"
"165","saddlebrown"
"166","midnightblue"
"167","red"
"168","turquoise"
"169","tan"
"170","purple"
"171","saddlebrown"
"172","lightcyan"
"173","brown"
"174","saddlebrown"
"175","blue"
"176","blue"
"177","turquoise"
"178","darkturquoise"
"179","greenyellow"
"180","blue"
"181","salmon"
"182","midnightblue"
"183","saddlebrown"
"184","lightcyan"
"185","darkgreen"
"186","saddlebrown"
"187","saddlebrown"
"188","grey"
"189","darkred"
"190","green"
"191","red"
"192","green"
"193","brown"
"194","yellow"
"195","yellow"
