"","x"
"1","grey"
"2","blue"
"3","purple"
"4","pink"
"5","steelblue"
"6","blue"
"7","yellow"
"8","yellow"
"9","purple"
"10","brown"
"11","red"
"12","black"
"13","midnightblue"
"14","turquoise"
"15","blue"
"16","orange"
"17","lightgreen"
"18","steelblue"
"19","purple"
"20","magenta"
"21","midnightblue"
"22","orange"
"23","lightcyan"
"24","steelblue"
"25","steelblue"
"26","blue"
"27","pink"
"28","yellow"
"29","darkorange"
"30","turquoise"
"31","darkorange"
"32","brown"
"33","yellow"
"34","darkred"
"35","darkgreen"
"36","cyan"
"37","darkorange"
"38","skyblue"
"39","darkgreen"
"40","paleturquoise"
"41","skyblue"
"42","blue"
"43","purple"
"44","purple"
"45","turquoise"
"46","magenta"
"47","purple"
"48","white"
"49","cyan"
"50","midnightblue"
"51","grey60"
"52","darkred"
"53","lightgreen"
"54","magenta"
"55","lightgreen"
"56","lightyellow"
"57","paleturquoise"
"58","lightgreen"
"59","turquoise"
"60","turquoise"
"61","royalblue"
"62","turquoise"
"63","darkmagenta"
"64","darkmagenta"
"65","darkolivegreen"
"66","cyan"
"67","darkolivegreen"
"68","green"
"69","blue"
"70","violet"
"71","darkturquoise"
"72","orange"
"73","purple"
"74","violet"
"75","turquoise"
"76","darkturquoise"
"77","green"
"78","greenyellow"
"79","black"
"80","green"
"81","blue"
"82","red"
"83","turquoise"
"84","turquoise"
"85","green"
"86","cyan"
"87","brown"
"88","purple"
"89","lightyellow"
"90","yellow"
"91","turquoise"
"92","black"
"93","green"
"94","grey60"
"95","magenta"
"96","turquoise"
"97","pink"
"98","paleturquoise"
"99","blue"
"100","paleturquoise"
"101","red"
"102","turquoise"
"103","green"
"104","turquoise"
"105","darkgreen"
"106","turquoise"
"107","darkred"
"108","blue"
"109","purple"
"110","turquoise"
"111","salmon"
"112","turquoise"
"113","turquoise"
"114","darkmagenta"
"115","turquoise"
"116","red"
"117","salmon"
"118","turquoise"
"119","yellow"
"120","brown"
"121","turquoise"
"122","brown"
"123","darkmagenta"
"124","orange"
"125","midnightblue"
"126","yellow"
"127","brown"
"128","skyblue"
"129","brown"
"130","turquoise"
"131","violet"
"132","tan"
"133","red"
"134","red"
"135","lightcyan"
"136","saddlebrown"
"137","blue"
"138","black"
"139","green"
"140","magenta"
"141","orange"
"142","greenyellow"
"143","yellow"
"144","lightgreen"
"145","brown"
"146","royalblue"
"147","black"
"148","pink"
"149","green"
"150","pink"
"151","purple"
"152","cyan"
"153","salmon"
"154","tan"
"155","lightgreen"
"156","turquoise"
"157","steelblue"
"158","brown"
"159","brown"
"160","red"
"161","pink"
"162","black"
"163","darkgrey"
"164","red"
"165","darkgrey"
"166","blue"
"167","red"
"168","black"
"169","darkgrey"
"170","darkgrey"
